143,Footwear Design and Development Institute,Multiple Campus,,"Footwear Design and Development Institute Act 2017",Ministry of Commerce and Industry
144,"National Institute of Design, Ahmedabad",Ahmedabad,Gujarat,"National Institute of Design Act 2014 and subsequent amendment",Ministry of Commerce and Industry
145,"National Institute of Design, Madhya Pradesh",Bhopal,Madhya Pradesh,"National Institute of Design Act 2014 and subsequent amendment",Ministry of Commerce and Industry
146,"National Institute of Design, Assam",Jorhat,Assam,"National Institute of Design Act 2014 and subsequent amendment",Ministry of Commerce and Industry
147,"National Institute of Design, Haryana",Kurukshetra,Haryana,"National Institute of Design Act 2014 and subsequent amendment",Ministry of Commerce and Industry
148,"National Institute of Design, Andhra Pradesh",Vijayawada,Andhra Pradesh,"National Institute of Design Act 2014 and subsequent amendment",Ministry of Commerce and Industry
149,Rani Lakshmi Bai Central Agricultural University,Jhansi,Uttar Pradesh,"Rani Lakshmi Bai Central Agricultural University Act 2014",Ministry of Agriculture & Farmers' Welfare
150,Rajendra Central Agricultural University,Samastipur,Bihar,"Dr. Rajendra Prasad Central Agricultural University Act 2016",Ministry of Agriculture & Farmers' Welfare
151,National Forensic Sciences University,Gandhinagar,Gujarat,"National Forensic Sciences University Act 2020",Ministry of Home Affairs
152,Rashtriya Raksha University,Gandhinagar,Gujarat,"Rashtriya Raksha University Act 2020",Ministry of Home Affairs
153,Indian Institute of Petroleum & Energy,Visakhapatnam,Andhra Pradesh,"Indian Institute of Petroleum & Energy Act 2017",Ministry of Petroleum & Natural Gas
154,Rajiv Gandhi Institute of Petroleum Technology Jais,Raebareli,Uttar Pradesh,"Rajiv Gandhi Institute of Petroleum Technology Act 2007",Ministry of Petroleum & Natural Gas
155,Kalakshetra Foundation,Chennai,Tamil Nadu,"Kalakshetra Foundation Act 1993",Ministry of Culture
156,National Library,Kolkata,West Bengal,"Entry 62, List I of Seventh Schedule of the Constitution of India",Ministry of Culture
157,"National Institute of Food Technology, Entrepreneurship and Management, Thanjavur",Thanjavur,Tamil Nadu,"National Institute of Food Technology, Entrepreneurship and Management Act 2021",Ministry of Food Processing Industries
158,"National Institute of Food Technology Entrepreneurship and Management, Kundli",Sonepat,Haryana,"National Institute of Food Technology, Entrepreneurship and Management Act 2022",Ministry of Food Processing Industries
159,Sree Chitra Tirunal Institute for Medical Sciences and Technology,Thiruvananthapuram,Kerala,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Trivandrum, Act 1980",Ministry of Science & Technology
160,Regional Centre for Biotechnology,Faridabad,Haryana,"Regional Centre for Biotechnology Act 2016",Ministry of Science & Technology
161,Institute of Teaching and Research in Ayurveda,Jamnagar,Gujarat,"Institute of Teaching and Research in Ayurveda Act 2020",Ministry of Ayush
162,New Delhi International Arbitration Centre,New Delhi,Delhi,"New Delhi International Arbitration Centre Act 2019","Department of Legal Affairs, Ministry of Law & Justice"
163,Rajiv Gandhi National Institute of Youth Development,Kanchipuram,Tamil Nadu,"Rajiv Gandhi National Institute of Youth Development Act 2012",Ministry of Youth Affairs & Sports
164,Indian Statistical Institute,Kolkata,West Bengal,"India Statistical Institute Act 1959",Ministry of Statistics & Program Implementation
165,Nalanda University,Rajgir,Bihar,"Nalanda University Act 2010",Ministry of External Affairs
